subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
gelegentliche build-fehler in eclipse ide,"liebes support-team,<br>ich möchte sporadische build-fehler in eclipse ide 2021-06 melden, insbesondere während der integration mit der zenithflow ci/cd-pipeline. diese fehler treten unvorhersehbar auf und unterbrechen unsere geplanten deployments. ich habe eine vorübergehende lösung durch nutzung der kommandozeilenschnittstelle (cli) gefunden.<br>meine umgebung umfasst eclipse ide 2021-06 unter windows 10 mit allen aktuellen updates. die build-fehler treten trotz versuchen, die ide neu zu starten, zufällig auf.",software development,software development,nan,medium,3,german,german
probleme mit gdpr-auditberichten,"liebes support-team, ich kontaktiere datavest advisors bezüglich eines problems mit cassandra 4.0. wir haben gelegentliche ausfälle bei der erstellung von gdpr-konformen auditberichten. obwohl eine manuelle zwischenlösung gefunden wurde, benötigen wir dringend innerhalb von 24 stunden eine dauerhafte lösung. das problem ist derzeit mit mittlerer priorität eingestuft, da es nicht kritisch ist, aber dennoch eine schnelle behebung erfordert. unsere umgebung läuft mit der neuesten version von cassandra 4.0. wir wären dankbar für jegliche empfehlungen oder patches.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
unterstützung bei problemen mit der vagrant-einrichtung erforderlich,"hallo support-team,\n\nich wende mich an sie wegen wiederkehrender konfigurationsfehler mit dem vagrant-arbeitsbereich, die zu teilweisen ausfällen während der novapm-release-validierung in unserem devops-prozess führen. unser team ist auf vagrant angewiesen, um konsistente testumgebungen bereitzustellen, aber diese konflikte unterbrechen unsere arbeitsabläufe. obwohl es sich um eine angelegenheit mittlerer priorität handelt, wurden temporäre lösungen wie das manuelle neuladen der umgebung eingesetzt, um verzögerungen durch diese fehler zu verringern. das problem trat in der vergangenen woche unvorhersehbar auf, wobei der letzte vorfall gestern um 14:45 uhr stattfand.",release management,release management,nan,medium,3,german,german
intermittierende probleme beim speichern der gdpr-datenaufbewahrungseinstellungen im hubspot crm,"liebes support-team, ich habe sporadisch schwierigkeiten, die gdpr-datenaufbewahrungsprotokolle im hubspot crm zu speichern. trotz mehrfacher versuche speichert das system die konfigurierten einstellungen nicht, sodass ich sie manuell eingeben muss, um das problem zu umgehen. diese inkonsistenz beeinträchtigt die verwaltung der compliance-daten für safehome security und tritt sowohl unter windows als auch auf macos-geräten in verschiedenen webbrowsern auf. ich habe einen screenshot der fehlermeldung zu ihrer information beigefügt. könnten sie bitte bei der lösung dieses problems helfen?",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
anfrage zur aktualisierung des rechnungskontakts für das monatliche shoplink commerce abonnement in quickbooks online,"liebes support-team,\n\nich wende mich an sie, um eine aktualisierung der rechnungskontaktinformationen für die monatlichen shoplink commerce abonnement-rechnungen in quickbooks online zu erbitten. könnten sie bitte bei der änderung behilflich sein? ich wäre ihnen dankbar, wenn die kontaktdaten so bald wie möglich aktualisiert werden könnten.\n\nvielen dank für ihre hilfe.\n\nmit freundlichen grüßen,\n<name>",account & billing management,account & billing management,nan,low,2,german,german
zufällige build-fehler in eclipse ide festgestellt,"hallo support-team,<br>ich melde intermittierende build-fehler, die in eclipse ide 2021-06 auftreten, insbesondere während der integration mit der zenithflow ci/cd-pipeline. diese fehler treten unvorhersehbar auf und verursachen unterbrechungen bei den geplanten updates. allerdings habe ich eine vorübergehende lösung gefunden, indem ich die befehlszeilenschnittstelle (cli) verwende.<br>meine einrichtung umfasst eclipse ide 2021-06 auf windows 10 mit den neuesten updates. die build-fehler scheinen zufällig aufzutreten, und ich habe versucht, sie durch einen neustart der ide zu beheben.",software development,software development,nan,medium,3,german,german
sofortiges handeln erforderlich: schwerwiegende sicherheitslücke in ehr-plattformen entdeckt,"liebes support-team, ich melde eine kritische sicherheitslücke im ehr-system von healthguard. die überwachung durch datadog hat eine ungepatchte zero-day-schwachstelle erkannt. wir benötigen dringend hilfe, um mögliche lecks von patientendaten zu verhindern. bitte geben sie uns anweisungen zum behebungsprozess.",security operations,security operations,nan,high,4,german,german
anfrage zur vpn-konfiguration in der nextwave-firewall-dokumentation,"hallo support-team, ich suche eine klärung zum abschnitt vpn-einrichtung in der firewall-dokumentation von nextwave. könnten sie bitte detaillierte anweisungen zur optimierung der konfigurationen für lokale netzwerke bereitstellen? ich würde ihre unterstützung zur verbesserung der einrichtung sehr schätzen. vielen dank, <name>",network infrastructure,network infrastructure,nan,low,2,german,german
anfrage für einen entwurf des gdpr-compliance-anhangs zur datenverarbeitung von elevate360 im hubspot crm,"sehr geehrtes support-team,<br><br>ich wende mich an sie, um einen entwurf des gdpr-compliance-anhangs bezüglich der datenverarbeitung von elevate360 im hubspot crm anzufordern. im rahmen unserer initiative, die kunden-mapping-prozesse mit den regulatorischen anforderungen in einklang zu bringen, möchten wir sicherstellen, dass unsere datenverarbeitung weiterhin den vorgaben der datenschutz-grundverordnung (gdpr) entspricht.<br><br>unsere organisation, elevate360, nutzt hubspot crm zur verwaltung von kundeninteraktionen, und wir möchten bestätigen, dass alle datenverarbeitungsprozesse den gdpr-anforderungen entsprechen.",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
problem mit hellosign gdpr-anhang,"liebes support-team, wir haben probleme mit den gdpr-anhängen auf hellosign. die erstellung der elevate360 customer journey vorlage füllt sich nicht automatisch aus und erfordert stattdessen ein manuelles hochladen. dies ist eine mittlere priorität. beste grüße, <name>",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
gelegentliche synchronisierungsfehler in novapm-workflows über zapier-integration,"liebes support-team, wir haben sporadisch probleme mit der zapier-synchronisierung in unseren novapm-workflows. die integration schlägt gelegentlich fehl, wenn projektdaten für prognosen in die novapm-dashboards synchronisiert werden. als vorübergehende lösung laden wir die csv-dateien manuell hoch. dieses problem verursacht unannehmlichkeiten und nimmt viel zeit in anspruch. ihre hilfe bei der lösung dieses problems wäre sehr willkommen. mit freundlichen grüßen, <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
probleme mit vpn-verbindung,"liebes support-team, wir haben gelegentliche vpn-verbindungsabbrüche bei unserem netgear nighthawk mesh wi-fi 6 system. mitarbeiter, die shoplink commerce nutzen, verlieren unerwartet die verbindung. derzeit wird als vorübergehende lösung eine kabelgebundene verbindung verwendet. wir benötigen innerhalb der nächsten 24 stunden eine lösung. bitte helfen sie uns, dieses problem zu beheben.",network infrastructure,network infrastructure,nan,medium,3,german,german
intermittierende zeitüberschreitungen der monday-api,"liebes support-team, wir haben gelegentlich zeitüberschreitungen bei unserer monday.com-integration. unser talentfusion hr-team ist stark auf diese integration für die einarbeitung von kandidaten angewiesen, aber diese häufigen zeitüberschreitungen verursachen große verzögerungen. derzeit haben wir eine manuelle zwischenlösung eingerichtet, aber das ist keine nachhaltige lösung. wir haben festgestellt, dass dieses problem seit letzter woche auftritt, der jüngste vorfall war gestern um 10:00 uhr. wir wären ihnen sehr dankbar, wenn das problem innerhalb des sla behoben werden könnte. bitte halten sie uns auf dem laufenden.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
notion kontinuierliche integration und lieferung,"liebes support-team, ich möchte notion mit stratoworks integrieren, um automatisierte protokolle für pipeline-updates zu ermöglichen, mit dem ziel, die entwicklungsnachverfolgung und dokumentation zu vereinfachen. das würde den arbeitsablauf erheblich verbessern. vielen dank, <name>",software development,software development,nan,low,2,german,german
hilfe bei der api-integration,"liebes support-team, ich kontaktiere sie bezüglich der smartsheet-stratoworks integrations-api. während der validierungsprüfungen haben wir einige unstimmigkeiten festgestellt, die weitere klärung und dokumentation erfordern. insbesondere benötigen wir details zu den api-endpunkten und datenformaten, um einen reibungslosen integrationsprozess zu gewährleisten. wir wären ihnen sehr dankbar, wenn sie aktualisierte dokumentationen oder anleitungen zu diesem thema bereitstellen könnten. diese angelegenheit ist dringend, und ihre lösung wird uns helfen, das projekt voranzutreiben. bitte informieren sie mich, falls sie weitere informationen benötigen. vielen dank.",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
kritisch: farbproblem bei heatmap beeinträchtigt datenanalyse,"liebes support-team, wir haben ein ernsthaftes problem mit den heatmaps im projektor von retailvision. die farbkontraste sind unklar, was die echtzeitanalyse der daten extrem erschwert. dieses problem ist dringend und muss innerhalb der nächsten 4 stunden behoben werden. wir arbeiten mit der neuesten softwareversion unter windows 10 und verwenden den chrome-browser. versuche, die anzeigeeinstellungen zu ändern, haben das problem nicht gelöst. ein screenshot ist zur referenz beigefügt. bitte helfen sie uns, dieses problem zu beheben.",user experience & design feedback,user experience & design feedback,nan,high,4,german,german
kontinuierliche integration und bereitstellung für shopify,"liebes support-team, ich suche nach einer anleitung zur konfiguration der ci/cd-pipeline für die shopify-integration. könnten sie bitte ausführlichere dokumentation bereitstellen? - <name>",software development,software development,nan,low,2,german,german
unterbrechung des redis-datenbankdienstes,"liebes support-team, wir haben derzeit eine erhebliche störung mit redis version 6.2, die verschlüsselte patientendaten beeinträchtigt. sofortige hilfe ist erforderlich, um die redundanz wiederherzustellen und die hipaa-konformität aufrechtzuerhalten. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
